model_name,backend,search_alg,loss,status,error_type,error_msg,req_args_json,min_h
AutoAutoformer,ray,Basic,MSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,NBMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,PMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,QuantileLayer,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,QuantileLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,RMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,SMAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,TukeyLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,relMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,sCRPS,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,Accuracy,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,DistributionLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,GMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,HuberIQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,HuberLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,HuberMQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,HuberQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,IQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,MAE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,MAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,MASE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,MQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,MSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,NBMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,PMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,QuantileLayer,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,QuantileLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,RMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,SMAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,TukeyLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,relMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Optuna,sCRPS,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,Accuracy,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,DistributionLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,GMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,HuberIQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,HuberLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,HuberMQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,HuberQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,IQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,MAE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,MAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,MASE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,MQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,MSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,NBMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,PMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,QuantileLayer,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,QuantileLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,RMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,SMAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,TukeyLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,relMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,HyperOpt,sCRPS,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,Accuracy,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,DistributionLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,GMM,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,HuberIQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,HuberLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,HuberMQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,HuberQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,IQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,MAE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,MAPE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,MASE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,MQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,MSE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,NBMM,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,PMM,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,QuantileLayer,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,QuantileLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,RMSE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,SMAPE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,TukeyLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,relMSE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,None,sCRPS,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,Basic,ALL,0,Configuration Error,Optuna Backend rejects Ray Searcher,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,Optuna,ALL,0,Configuration Error,Optuna Backend rejects Ray Searcher,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,optuna,HyperOpt,ALL,0,Configuration Error,Optuna Backend rejects Ray Searcher,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,Accuracy,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,DistributionLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,GMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,HuberIQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,HuberLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,HuberMQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,HuberQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,IQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,MAE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,MAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,MASE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,MQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,MSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,NBMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,PMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,QuantileLayer,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,QuantileLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,RMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,SMAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,TukeyLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,relMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,None,sCRPS,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,Accuracy,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,DistributionLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,GMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,HuberIQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,HuberLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,HuberMQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,HuberQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,IQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,MAE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,MAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,MASE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,MQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,MSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,NBMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,PMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,QuantileLayer,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,QuantileLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,RMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,SMAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,TukeyLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,relMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Basic,sCRPS,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,Accuracy,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,DistributionLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,GMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,HuberIQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,HuberLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,HuberMQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,HuberQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,IQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,MAE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,MAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,MASE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,MQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,MSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,NBMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,PMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,QuantileLayer,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,QuantileLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,RMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,SMAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,TukeyLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,relMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,Optuna,sCRPS,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,Accuracy,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,DistributionLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,GMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,HuberIQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,HuberLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,HuberMQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,HuberQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,IQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,MAE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,MAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,MASE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,MQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,MSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,NBMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,PMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,QuantileLayer,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,QuantileLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,RMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,SMAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,TukeyLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,relMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,ray,HyperOpt,sCRPS,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,Accuracy,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,DistributionLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,GMM,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,HuberIQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,HuberLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,HuberMQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,HuberQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,IQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,MAE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,MAPE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,MASE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,MQLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,MSE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,NBMM,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,PMM,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,QuantileLayer,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,QuantileLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,RMSE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,SMAPE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,TukeyLoss,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,relMSE,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,None,sCRPS,0,Runtime Error,You have to provide a function that takes a trial and returns a dict as `config` when using `backend,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,Basic,ALL,0,Configuration Error,Optuna Backend rejects Ray Searcher,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,Optuna,ALL,0,Configuration Error,Optuna Backend rejects Ray Searcher,"{""valid_loss"": ""MAE()""}",1
AutoBiTCN,optuna,HyperOpt,ALL,0,Configuration Error,Optuna Backend rejects Ray Searcher,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,Accuracy,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,DistributionLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,GMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,HuberIQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,HuberLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,HuberMQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,HuberQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,IQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,MAE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,MAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,MASE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,MQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,MSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,NBMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,PMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,QuantileLayer,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,QuantileLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,RMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,SMAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,TukeyLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,relMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoDLinear,ray,None,sCRPS,1,Ready,,"{""valid_loss"": ""MAE()""}",1
