full_path,Object_Name,Type,Summary,Arguments_List,Num_Arguments
neuralforecast.common._scalers.identity_statistics,identity_statistics,function,Identity Scaler,"dim, eps, mask, x",4
neuralforecast.common._scalers.inv_identity_scaler,inv_identity_scaler,function,,"x_scale, x_shift, z",3
neuralforecast.common._scalers.inv_invariant_scaler,inv_invariant_scaler,function,,"x_mad, x_median, z",3
neuralforecast.common._scalers.inv_minmax1_scaler,inv_minmax1_scaler,function,,"x_min, x_range, z",3
neuralforecast.common._scalers.inv_minmax_scaler,inv_minmax_scaler,function,,"x_min, x_range, z",3
neuralforecast.common._scalers.inv_robust_scaler,inv_robust_scaler,function,,"x_mad, x_median, z",3
neuralforecast.common._scalers.inv_std_scaler,inv_std_scaler,function,,"x_mean, x_std, z",3
neuralforecast.common._scalers.invariant_scaler,invariant_scaler,function,,"x, x_mad, x_median",3
neuralforecast.common._scalers.invariant_statistics,invariant_statistics,function,Invariant Median Scaler,"dim, eps, mask, x",4
neuralforecast.common._scalers.masked_mean,masked_mean,function,Masked  Mean,"dim, keepdim, mask, x",4
neuralforecast.common._scalers.masked_median,masked_median,function,Masked Median,"dim, keepdim, mask, x",4
neuralforecast.common._scalers.minmax1_scaler,minmax1_scaler,function,,"x, x_min, x_range",3
neuralforecast.common._scalers.minmax1_statistics,minmax1_statistics,function,MinMax1 Scaler,"dim, eps, mask, x",4
neuralforecast.common._scalers.minmax_scaler,minmax_scaler,function,,"x, x_min, x_range",3
neuralforecast.common._scalers.minmax_statistics,minmax_statistics,function,MinMax Scaler,"dim, eps, mask, x",4
neuralforecast.common._scalers.robust_scaler,robust_scaler,function,,"x, x_mad, x_median",3
neuralforecast.common._scalers.robust_statistics,robust_statistics,function,Robust Median Scaler,"dim, eps, mask, x",4
neuralforecast.common._scalers.std_scaler,std_scaler,function,,"x, x_means, x_stds",3
neuralforecast.common._scalers.std_statistics,std_statistics,function,Standard Scaler,"dim, eps, mask, x",4
neuralforecast.common.enums.ExplainerEnum,ExplainerEnum,class,str(object='') -> str,"args, kwds",2
neuralforecast.common.enums.TimeSeriesDatasetEnum,TimeSeriesDatasetEnum,class,str(object='') -> str,"args, kwds",2
neuralforecast.compat.SparkDataFrame,SparkDataFrame,class,,"args, kwargs",2
neuralforecast.core.NeuralForecast,NeuralForecast,class,,"freq, local_scaler_type, models",3
neuralforecast.losses.numpy.mae,mae,function,Mean Absolute Error,"axis, weights, y, y_hat",4
neuralforecast.losses.numpy.mape,mape,function,Mean Absolute Percentage Error,"axis, weights, y, y_hat",4
neuralforecast.losses.numpy.mase,mase,function,Mean Absolute Scaled Error,"axis, seasonality, weights, y, y_hat, y_train",6
neuralforecast.losses.numpy.mqloss,mqloss,function,Multi-Quantile loss,"axis, quantiles, weights, y, y_hat",5
neuralforecast.losses.numpy.mse,mse,function,Mean Squared Error,"axis, weights, y, y_hat",4
neuralforecast.losses.numpy.quantile_loss,quantile_loss,function,Quantile Loss,"axis, q, weights, y, y_hat",5
neuralforecast.losses.numpy.rmae,rmae,function,RMAE,"axis, weights, y, y_hat1, y_hat2",5
neuralforecast.losses.numpy.rmse,rmse,function,Root Mean Squared Error,"axis, weights, y, y_hat",4
neuralforecast.losses.numpy.smape,smape,function,Symmetric Mean Absolute Percentage Error,"axis, weights, y, y_hat",4
neuralforecast.losses.pytorch.Accuracy,Accuracy,class,Accuracy,,0
neuralforecast.losses.pytorch.BaseISQF,BaseISQF,class,Base distribution class for the Incremental (Spline) Quantile Function.,"beta_l, beta_r, qk_x, qk_y, spline_heights, spline_knots, tol, validate_args",8
neuralforecast.losses.pytorch.BasePointLoss,BasePointLoss,class,Base class for point loss functions.,"horizon_weight, output_names, outputsize_multiplier",3
neuralforecast.losses.pytorch.DistributionLoss,DistributionLoss,class,DistributionLoss,"distribution, distribution_kwargs, horizon_weight, level, num_samples, quantiles, return_params",7
neuralforecast.losses.pytorch.GMM,GMM,class,Gaussian Mixture Mesh,"batch_correlation, horizon_correlation, level, n_components, num_samples, quantiles, return_params, weighted",8
neuralforecast.losses.pytorch.HuberIQLoss,HuberIQLoss,class,Implicit Huber Quantile Loss,"concentration0, concentration1, cos_embedding_dim, delta, horizon_weight",5
neuralforecast.losses.pytorch.HuberLoss,HuberLoss,class,Huber Loss,"delta, horizon_weight",2
neuralforecast.losses.pytorch.HuberMQLoss,HuberMQLoss,class,Huberized Multi-Quantile loss,"delta, horizon_weight, level, quantiles",4
neuralforecast.losses.pytorch.HuberQLoss,HuberQLoss,class,Huberized Quantile Loss,"delta, horizon_weight, q",3
neuralforecast.losses.pytorch.IQLoss,IQLoss,class,Implicit Quantile Loss.,"concentration0, concentration1, cos_embedding_dim, horizon_weight",4
neuralforecast.losses.pytorch.ISQF,ISQF,class,Distribution class for the Incremental (Spline) Quantile Function.,"beta_l, beta_r, loc, qk_x, qk_y, scale, spline_heights, spline_knots, validate_args",9
neuralforecast.losses.pytorch.MAE,MAE,class,Mean Absolute Error.,horizon_weight,1
neuralforecast.losses.pytorch.MAPE,MAPE,class,Mean Absolute Percentage Error,horizon_weight,1
neuralforecast.losses.pytorch.MASE,MASE,class,Mean Absolute Scaled Error,"horizon_weight, seasonality",2
neuralforecast.losses.pytorch.MQLoss,MQLoss,class,Multi-Quantile loss,"horizon_weight, level, quantiles",3
neuralforecast.losses.pytorch.MSE,MSE,class,Mean Squared Error.,horizon_weight,1
neuralforecast.losses.pytorch.NBMM,NBMM,class,Negative Binomial Mixture Mesh,"level, n_components, num_samples, quantiles, return_params, weighted",6
neuralforecast.losses.pytorch.PMM,PMM,class,Poisson Mixture Mesh,"batch_correlation, horizon_correlation, level, n_components, num_samples, quantiles, return_params, weighted",8
neuralforecast.losses.pytorch.QuantileLayer,QuantileLayer,class,Implicit Quantile Layer from the paper IQN for Distributional Reinforcement Learning.,"cos_embedding_dim, num_output",2
neuralforecast.losses.pytorch.QuantileLoss,QuantileLoss,class,Quantile Loss.,"horizon_weight, q",2
neuralforecast.losses.pytorch.RMSE,RMSE,class,Root Mean Squared Error.,horizon_weight,1
neuralforecast.losses.pytorch.SMAPE,SMAPE,class,Symmetric Mean Absolute Percentage Error,horizon_weight,1
neuralforecast.losses.pytorch.TukeyLoss,TukeyLoss,class,Tukey Loss,"c, normalize",2
neuralforecast.losses.pytorch.Tweedie,Tweedie,class,Tweedie Distribution.,"log_mu, rho, validate_args",3
neuralforecast.losses.pytorch.bernoulli_scale_decouple,bernoulli_scale_decouple,function,Bernoulli Scale Decouple.,"loc, output, scale",3
neuralforecast.losses.pytorch.est_alpha,est_alpha,function,,rho,1
neuralforecast.losses.pytorch.est_beta,est_beta,function,,"mu, rho",2
neuralforecast.losses.pytorch.est_lambda,est_lambda,function,,"mu, rho",2
neuralforecast.losses.pytorch.isqf_domain_map,isqf_domain_map,function,ISQF Domain Map,"input, num_pieces, quantiles, tol",4
neuralforecast.losses.pytorch.isqf_scale_decouple,isqf_scale_decouple,function,ISQF Scale Decouple,"loc, output, scale",3
neuralforecast.losses.pytorch.level_to_outputs,level_to_outputs,function,,level,1
neuralforecast.losses.pytorch.nbinomial_scale_decouple,nbinomial_scale_decouple,function,Negative Binomial Scale Decouple,"loc, output, scale",3
neuralforecast.losses.pytorch.normal_scale_decouple,normal_scale_decouple,function,Normal Scale Decouple.,"eps, loc, output, scale",4
neuralforecast.losses.pytorch.poisson_scale_decouple,poisson_scale_decouple,function,Poisson Scale Decouple,"loc, output, scale",3
neuralforecast.losses.pytorch.quantiles_to_outputs,quantiles_to_outputs,function,,quantiles,1
neuralforecast.losses.pytorch.relMSE,relMSE,class,Relative Mean Squared Error,"horizon_weight, y_train",2
neuralforecast.losses.pytorch.sCRPS,sCRPS,class,Scaled Continues Ranked Probability Score,"level, quantiles",2
neuralforecast.losses.pytorch.student_scale_decouple,student_scale_decouple,function,Student-T Scale Decouple.,"eps, loc, output, scale",4
neuralforecast.losses.pytorch.tweedie_domain_map,tweedie_domain_map,function,Maps output of neural network to domain of distribution loss,"input, rho",2
neuralforecast.losses.pytorch.tweedie_scale_decouple,tweedie_scale_decouple,function,Tweedie Scale Decouple,"loc, output, scale",3
neuralforecast.losses.pytorch.weighted_average,weighted_average,function,Computes the weighted average of a given tensor across a given dim.,"dim, weights, x",3
neuralforecast.models.autoformer.AutoCorrelation,AutoCorrelation,class,AutoCorrelation Mechanism with the following two phases:,"attention_dropout, factor, mask_flag, output_attention, scale",5
neuralforecast.models.autoformer.AutoCorrelationLayer,AutoCorrelationLayer,class,Auto Correlation Layer,"correlation, d_keys, d_values, hidden_size, n_head",5
neuralforecast.models.autoformer.Autoformer,Autoformer,class,Autoformer,"MovingAvg_window, activation, alias, batch_size, conv_hidden_size, dataloader_kwargs, decoder_input_size_multiplier, decoder_layers, drop_last_loader, dropout, early_stop_patience_steps, encoder_layers, exclude_insample_y, factor, futr_exog_list, h, hidden_size, hist_exog_list, inference_windows_batch_size, input_size, learning_rate, loss, lr_scheduler, lr_scheduler_kwargs, max_steps, n_head, num_lr_decays, optimizer, optimizer_kwargs, random_seed, scaler_type, start_padding_enabled, stat_exog_list, step_size, trainer_kwargs, training_data_availability_threshold, val_check_steps, valid_batch_size, valid_loss, windows_batch_size",40
neuralforecast.models.autoformer.Decoder,Decoder,class,Autoformer decoder,"layers, norm_layer, projection",3
neuralforecast.models.autoformer.DecoderLayer,DecoderLayer,class,Autoformer decoder layer with the progressive decomposition architecture,"MovingAvg, activation, c_out, conv_hidden_size, cross_attention, dropout, hidden_size, self_attention",8
neuralforecast.models.autoformer.Encoder,Encoder,class,Autoformer encoder,"attn_layers, conv_layers, norm_layer",3
neuralforecast.models.autoformer.EncoderLayer,EncoderLayer,class,Autoformer encoder layer with the progressive decomposition architecture,"MovingAvg, activation, attention, conv_hidden_size, dropout, hidden_size",6
neuralforecast.models.autoformer.LayerNorm,LayerNorm,class,Special designed layernorm for the seasonal part,channels,1
neuralforecast.models.bitcn.BiTCN,BiTCN,class,BiTCN,"alias, batch_size, dataloader_kwargs, drop_last_loader, dropout, early_stop_patience_steps, exclude_insample_y, futr_exog_list, h, hidden_size, hist_exog_list, inference_windows_batch_size, input_size, learning_rate, loss, lr_scheduler, lr_scheduler_kwargs, max_steps, num_lr_decays, optimizer, optimizer_kwargs, random_seed, scaler_type, start_padding_enabled, stat_exog_list, step_size, trainer_kwargs, training_data_availability_threshold, val_check_steps, valid_batch_size, valid_loss, windows_batch_size",32
neuralforecast.models.bitcn.CustomConv1d,CustomConv1d,class,Forward- and backward looking Conv1D,"dilation, groups, in_channels, kernel_size, mode, out_channels, padding",7
neuralforecast.models.bitcn.TCNCell,TCNCell,class,"Temporal Convolutional Network Cell, consisting of CustomConv1D modules.","dilation, dropout, groups, in_channels, kernel_size, mode, out_channels, padding",8
neuralforecast.models.deepar.Decoder,Decoder,class,Multi-Layer Perceptron Decoder,"hidden_layers, hidden_size, in_features, out_features",4
neuralforecast.models.deepar.DeepAR,DeepAR,class,DeepAR,"alias, batch_size, dataloader_kwargs, decoder_hidden_layers, decoder_hidden_size, drop_last_loader, early_stop_patience_steps, exclude_insample_y, futr_exog_list, h, h_train, hist_exog_list, inference_windows_batch_size, input_size, learning_rate, loss, lr_scheduler, lr_scheduler_kwargs, lstm_dropout, lstm_hidden_size, lstm_n_layers, max_steps, num_lr_decays, optimizer, optimizer_kwargs, random_seed, scaler_type, start_padding_enabled, stat_exog_list, step_size, trainer_kwargs, training_data_availability_threshold, trajectory_samples, val_check_steps, valid_batch_size, valid_loss, windows_batch_size",37
neuralforecast.models.deepnpts.DeepNPTS,DeepNPTS,class,DeepNPTS,"alias, batch_norm, batch_size, dataloader_kwargs, drop_last_loader, dropout, early_stop_patience_steps, exclude_insample_y, futr_exog_list, h, hidden_size, hist_exog_list, inference_windows_batch_size, input_size, learning_rate, loss, lr_scheduler, lr_scheduler_kwargs, max_steps, n_layers, num_lr_decays, optimizer, optimizer_kwargs, random_seed, scaler_type, start_padding_enabled, stat_exog_list, step_size, trainer_kwargs, training_data_availability_threshold, val_check_steps, valid_batch_size, valid_loss, windows_batch_size",34
neuralforecast.models.dilated_rnn.AttentiveLSTMLayer,AttentiveLSTMLayer,class,Base class for all neural network modules.,"dropout, hidden_size, input_size",3
neuralforecast.models.dilated_rnn.DRNN,DRNN,class,Base class for all neural network modules.,"batch_first, cell_type, dilations, dropout, n_hidden, n_input, n_layers",7
neuralforecast.models.dilated_rnn.DilatedRNN,DilatedRNN,class,DilatedRNN,"alias, batch_size, cell_type, context_size, dataloader_kwargs, decoder_hidden_size, decoder_layers, dilations, drop_last_loader, early_stop_patience_steps, encoder_hidden_size, exclude_insample_y, futr_exog_list, h, hist_exog_list, inference_input_size, inference_windows_batch_size, input_size, learning_rate, loss, lr_scheduler, lr_scheduler_kwargs, max_steps, num_lr_decays, optimizer, optimizer_kwargs, random_seed, scaler_type, start_padding_enabled, stat_exog_list, step_size, trainer_kwargs, training_data_availability_threshold, val_check_steps, valid_batch_size, valid_loss, windows_batch_size",37
neuralforecast.models.dilated_rnn.LSTMCell,LSTMCell,class,Base class for all neural network modules.,"dropout, hidden_size, input_size",3
neuralforecast.models.dilated_rnn.ResLSTMCell,ResLSTMCell,class,Base class for all neural network modules.,"dropout, hidden_size, input_size",3
neuralforecast.models.dilated_rnn.ResLSTMLayer,ResLSTMLayer,class,Base class for all neural network modules.,"dropout, hidden_size, input_size",3
neuralforecast.models.dlinear.DLinear,DLinear,class,DLinear,"alias, batch_size, dataloader_kwargs, drop_last_loader, early_stop_patience_steps, exclude_insample_y, futr_exog_list, h, hist_exog_list, inference_windows_batch_size, input_size, learning_rate, loss, lr_scheduler, lr_scheduler_kwargs, max_steps, moving_avg_window, num_lr_decays, optimizer, optimizer_kwargs, random_seed, scaler_type, start_padding_enabled, stat_exog_list, step_size, trainer_kwargs, training_data_availability_threshold, val_check_steps, valid_batch_size, valid_loss, windows_batch_size",31
neuralforecast.models.dlinear.MovingAvg,MovingAvg,class,Moving average block to highlight the trend of time series,"kernel_size, stride",2
neuralforecast.models.dlinear.SeriesDecomp,SeriesDecomp,class,Series decomposition block,kernel_size,1
neuralforecast.models.fedformer.AutoCorrelationLayer,AutoCorrelationLayer,class,Auto Correlation Layer,"correlation, d_keys, d_values, hidden_size, n_head",5
neuralforecast.models.fedformer.Decoder,Decoder,class,FEDformer decoder,"layers, norm_layer, projection",3
neuralforecast.models.fedformer.DecoderLayer,DecoderLayer,class,FEDformer decoder layer with the progressive decomposition architecture,"MovingAvg, activation, c_out, conv_hidden_size, cross_attention, dropout, hidden_size, self_attention",8
neuralforecast.models.fedformer.Encoder,Encoder,class,FEDformer encoder,"attn_layers, conv_layers, norm_layer",3
neuralforecast.models.fedformer.EncoderLayer,EncoderLayer,class,FEDformer encoder layer with the progressive decomposition architecture,"MovingAvg, activation, attention, conv_hidden_size, dropout, hidden_size",6
